"","Congress","Party","Office","No.Afr.Am","No.Hisp.Am","No.Women"
"194",93,"D","Senate",0,1,1
"195",93,"R","House",0,1,2
"196",93,"R","Senate",1,0,0
"197",94,"D","House",16,4,14
"198",94,"D","Senate",0,1,0
"199",94,"R","House",0,1,5
"200",94,"R","Senate",1,0,0
"201",95,"D","House",15,4,13
"202",95,"D","Senate",0,0,0
"203",95,"R","House",0,1,5
"204",95,"R","Senate",1,0,0
"205",96,"D","House",15,5,11
"206",96,"D","Senate",0,0,1
"207",96,"R","House",0,1,5
"208",96,"R","Senate",0,0,1
"209",97,"D","House",17,6,10
"210",97,"D","Senate",0,0,0
"211",97,"R","House",0,1,9
"212",97,"R","Senate",0,0,2
"213",98,"D","House",20,9,13
"214",98,"D","Senate",0,0,0
"215",98,"R","House",0,1,9
"216",98,"R","Senate",0,0,2
"217",99,"D","House",20,10,13
"218",99,"D","Senate",0,0,0
"219",99,"R","House",0,1,9
"220",99,"R","Senate",0,0,2
